Account,Role Arn,Role Name,Trusted Service,IsAdmin?,CanPrivEscToAdmin?
000000000000,arn:aws:iam::000000000000:role/privesc-high-priv-service-role,privesc-high-priv-service-role,cloudformation.amazonaws.com,YES,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/privesc-high-priv-service-role,privesc-high-priv-service-role,codebuild.amazonaws.com,YES,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/privesc-high-priv-service-role,privesc-high-priv-service-role,datapipeline.amazonaws.com,YES,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/EC2CloudWatchAgentRole,EC2CloudWatchAgentRole,ec2.amazonaws.com,No,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/privesc-high-priv-service-role,privesc-high-priv-service-role,ec2.amazonaws.com,YES,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/privesc-high-priv-service-role,privesc-high-priv-service-role,ecs-tasks.amazonaws.com,YES,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/privesc-high-priv-service-role,privesc-high-priv-service-role,eks.amazonaws.com,YES,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/privesc-high-priv-service-role,privesc-high-priv-service-role,elasticbeanstalk.amazonaws.com,YES,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/privesc-high-priv-service-role,privesc-high-priv-service-role,glue.amazonaws.com,YES,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/aws-service-role/guardduty.amazonaws.com/AWSServiceRoleForAmazonGuardDuty,AWSServiceRoleForAmazonGuardDuty,guardduty.amazonaws.com,No,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/service-role/EC2-AutoRemediation-role-h3s42wj1,EC2-AutoRemediation-role-h3s42wj1,lambda.amazonaws.com,No,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/privesc-high-priv-service-role,privesc-high-priv-service-role,lambda.amazonaws.com,YES,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/aws-service-role/malware-protection.guardduty.amazonaws.com/AWSServiceRoleForAmazonGuardDutyMalwareProtection,AWSServiceRoleForAmazonGuardDutyMalwareProtection,malware-protection.guardduty.amazonaws.com,No,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/aws-service-role/resource-explorer-2.amazonaws.com/AWSServiceRoleForResourceExplorer,AWSServiceRoleForResourceExplorer,resource-explorer-2.amazonaws.com,No,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/privesc-high-priv-service-role,privesc-high-priv-service-role,sagemaker.amazonaws.com,YES,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/aws-service-role/support.amazonaws.com/AWSServiceRoleForSupport,AWSServiceRoleForSupport,support.amazonaws.com,No,"Skipping, no pmapper data"
000000000000,arn:aws:iam::000000000000:role/aws-service-role/trustedadvisor.amazonaws.com/AWSServiceRoleForTrustedAdvisor,AWSServiceRoleForTrustedAdvisor,trustedadvisor.amazonaws.com,No,"Skipping, no pmapper data"
